"","beer1","beer2","V1"
"61","India Pale Ale","Founders Breakfast Stout",0.113208492478518
"62","India Pale Ale","Sierra Nevada Bigfoot Barleywine Style Ale",0.083272531581833
"63","India Pale Ale","Pliny The Elder",0.0855357152351643
"64","India Pale Ale","60 Minute IPA",0.0702838548244325
"65","India Pale Ale","Brooklyn Black Chocolate Stout",0.0576587775358607
"66","India Pale Ale","Storm King Stout",0.0589275240043574
"67","India Pale Ale","Samuel Adams Boston Lager",0.0549469023128304
"68","India Pale Ale","Bell's Hopslam Ale",0.102831471652523
"69","India Pale Ale","Stone Imperial Russian Stout",0.0180981688907026
"70","India Pale Ale","Chocolate Stout",0.0894620596043379
"71","India Pale Ale","Imperial Stout",0.115347944124043
"72","India Pale Ale","HopDevil Ale",0.127153592989259
"73","India Pale Ale","Dead Guy Ale",0.0557952566806587
"74","India Pale Ale","St. Bernardus Abt 12",0.0741949388122534
"75","India Pale Ale","Trappistes Rochefort 10",0.0993569925985668
"76","India Pale Ale","Young's Double Chocolate Stout",0.0264971565136137
"77","India Pale Ale","Ayinger Celebrator Doppelbock",-0.0450757000143909
"78","India Pale Ale","Samuel Smith's Oatmeal Stout",0.0754059507976843
"79","India Pale Ale","Chimay Grande Réserve (Blue)",0.12472592438908
"80","India Pale Ale","Sierra Nevada Torpedo Extra IPA",0.0684240680989586
"81","India Pale Ale","Guinness Draught",0.0308992685295179
"82","India Pale Ale","Weihenstephaner Hefeweissbier",0.0826729095789249
"83","India Pale Ale","Racer 5 India Pale Ale",0.103017687785188
"84","India Pale Ale","Orval Trappist Ale",0.141354705865737
"85","India Pale Ale","Tröegs Nugget Nectar",0.207967151628672
"86","India Pale Ale","Hop Rod Rye",0.118825112839027
"87","India Pale Ale","Founders KBS (Kentucky Breakfast Stout)",0.0807225095472804
"88","India Pale Ale","Schneider Aventinus",0.0211083149136472
"89","India Pale Ale","Samuel Adams Octoberfest",0.0302943467669907
"90","India Pale Ale","Hennepin (Farmhouse Saison)",0.0506348668677497
"91","India Pale Ale","Prima Pils",0.133169541130146
"92","India Pale Ale","Punkin Ale",0.131611016780214
"93","India Pale Ale","Double Bastard Ale",0.0428495828888176
"94","India Pale Ale","Samuel Adams Winter Lager",0.0721490437101194
"95","India Pale Ale","Hop Wallop",0.0491702344173489
"96","India Pale Ale","Oatmeal Stout",0.161556320121712
"97","India Pale Ale","Anchor Steam Beer",0.0735916791861304
"98","India Pale Ale","120 Minute IPA",0.0556896218772694
"99","Old Rasputin Russian Imperial Stout","90 Minute IPA",0.193036508360517
"100","Old Rasputin Russian Imperial Stout","India Pale Ale",0.0748896385286789
"101","Old Rasputin Russian Imperial Stout","Sierra Nevada Celebration Ale",0.205614724794033
"102","Old Rasputin Russian Imperial Stout","Stone Ruination IPA",0.243514006210571
"103","Old Rasputin Russian Imperial Stout","Arrogant Bastard Ale",0.275559067194132
"104","Old Rasputin Russian Imperial Stout","Two Hearted Ale",0.164826199892445
"105","Old Rasputin Russian Imperial Stout","Stone IPA (India Pale Ale)",0.188920309610694
"106","Old Rasputin Russian Imperial Stout","Sierra Nevada Pale Ale",0.172971501576871
"107","Old Rasputin Russian Imperial Stout","La Fin Du Monde",0.181755546949865
"108","Old Rasputin Russian Imperial Stout","Pale Ale",0.0899346634108736
"109","Old Rasputin Russian Imperial Stout","Duvel",0.177491505196309
"110","Old Rasputin Russian Imperial Stout","Founders Breakfast Stout",0.229473602901716
"111","Old Rasputin Russian Imperial Stout","Sierra Nevada Bigfoot Barleywine Style Ale",0.259238911200695
"112","Old Rasputin Russian Imperial Stout","Pliny The Elder",0.20869141167153
"113","Old Rasputin Russian Imperial Stout","60 Minute IPA",0.0995838176088406
"114","Old Rasputin Russian Imperial Stout","Brooklyn Black Chocolate Stout",0.191527573986987
"115","Old Rasputin Russian Imperial Stout","Storm King Stout",0.227924690455457
"116","Old Rasputin Russian Imperial Stout","Samuel Adams Boston Lager",0.166391874653847
"117","Old Rasputin Russian Imperial Stout","Bell's Hopslam Ale",0.17078998232882
"118","Old Rasputin Russian Imperial Stout","Stone Imperial Russian Stout",0.247643126266737
"119","Old Rasputin Russian Imperial Stout","Chocolate Stout",0.197561827147948
"120","Old Rasputin Russian Imperial Stout","Imperial Stout",0.143521418857279
"121","Old Rasputin Russian Imperial Stout","HopDevil Ale",0.20334293914739
"122","Old Rasputin Russian Imperial Stout","Dead Guy Ale",0.224813943331281
"123","Old Rasputin Russian Imperial Stout","St. Bernardus Abt 12",0.196197967075049
"124","Old Rasputin Russian Imperial Stout","Trappistes Rochefort 10",0.152489526474834
"125","Old Rasputin Russian Imperial Stout","Young's Double Chocolate Stout",0.142445975604963
"126","Old Rasputin Russian Imperial Stout","Ayinger Celebrator Doppelbock",0.170713403046782
"127","Old Rasputin Russian Imperial Stout","Samuel Smith's Oatmeal Stout",0.143757179905804
"128","Old Rasputin Russian Imperial Stout","Chimay Grande Réserve (Blue)",0.188798022609489
"129","Old Rasputin Russian Imperial Stout","Sierra Nevada Torpedo Extra IPA",0.167238852134008
"130","Old Rasputin Russian Imperial Stout","Guinness Draught",0.0216045798886949
"131","Old Rasputin Russian Imperial Stout","Weihenstephaner Hefeweissbier",0.168101361815041
"132","Old Rasputin Russian Imperial Stout","Racer 5 India Pale Ale",0.206065242555695
"133","Old Rasputin Russian Imperial Stout","Orval Trappist Ale",0.163376496870045
"134","Old Rasputin Russian Imperial Stout","Tröegs Nugget Nectar",0.153668918481522
"135","Old Rasputin Russian Imperial Stout","Hop Rod Rye",0.213504633436108
"136","Old Rasputin Russian Imperial Stout","Founders KBS (Kentucky Breakfast Stout)",0.179209103508674
"137","Old Rasputin Russian Imperial Stout","Schneider Aventinus",0.160506058444528
"138","Old Rasputin Russian Imperial Stout","Samuel Adams Octoberfest",0.103684648184479
"139","Old Rasputin Russian Imperial Stout","Hennepin (Farmhouse Saison)",0.173785957035565
"140","Old Rasputin Russian Imperial Stout","Prima Pils",0.154033251357343
"141","Old Rasputin Russian Imperial Stout","Punkin Ale",0.132581852466575
"142","Old Rasputin Russian Imperial Stout","Double Bastard Ale",0.15759442517872
"143","Old Rasputin Russian Imperial Stout","Samuel Adams Winter Lager",0.120449836090105
"144","Old Rasputin Russian Imperial Stout","Hop Wallop",0.159886925024348
"145","Old Rasputin Russian Imperial Stout","Oatmeal Stout",0.146254178321495
"146","Old Rasputin Russian Imperial Stout","Anchor Steam Beer",0.114436843880593
"147","Old Rasputin Russian Imperial Stout","120 Minute IPA",0.111744078004032
"148","Sierra Nevada Celebration Ale","90 Minute IPA",0.172100865521249
"149","Sierra Nevada Celebration Ale","India Pale Ale",0.12067704867333
"150","Sierra Nevada Celebration Ale","Old Rasputin Russian Imperial Stout",0.205614724794033
"151","Sierra Nevada Celebration Ale","Stone Ruination IPA",0.281935418499543
"152","Sierra Nevada Celebration Ale","Arrogant Bastard Ale",0.336270976652778
"153","Sierra Nevada Celebration Ale","Two Hearted Ale",0.211385720777622
"154","Sierra Nevada Celebration Ale","Stone IPA (India Pale Ale)",0.303563419600223
"155","Sierra Nevada Celebration Ale","Sierra Nevada Pale Ale",0.305003887306027
"156","Sierra Nevada Celebration Ale","La Fin Du Monde",0.191124983151933
"157","Sierra Nevada Celebration Ale","Pale Ale",0.0977641444669443
"158","Sierra Nevada Celebration Ale","Duvel",0.218481654451758
"159","Sierra Nevada Celebration Ale","Founders Breakfast Stout",0.192474713606764
"160","Sierra Nevada Celebration Ale","Sierra Nevada Bigfoot Barleywine Style Ale",0.34636815167722
"161","Sierra Nevada Celebration Ale","Pliny The Elder",0.233020720096799
"162","Sierra Nevada Celebration Ale","60 Minute IPA",0.215117999519232
"163","Sierra Nevada Celebration Ale","Brooklyn Black Chocolate Stout",0.0979113651645444
"164","Sierra Nevada Celebration Ale","Storm King Stout",0.199930372285929
"165","Sierra Nevada Celebration Ale","Samuel Adams Boston Lager",0.220311867632329
"166","Sierra Nevada Celebration Ale","Bell's Hopslam Ale",0.1200595077935
"167","Sierra Nevada Celebration Ale","Stone Imperial Russian Stout",0.139280036967011
"168","Sierra Nevada Celebration Ale","Chocolate Stout",0.163042128094958
"169","Sierra Nevada Celebration Ale","Imperial Stout",0.165885059374967
"170","Sierra Nevada Celebration Ale","HopDevil Ale",0.299042714649422
"171","Sierra Nevada Celebration Ale","Dead Guy Ale",0.178249963535776
"172","Sierra Nevada Celebration Ale","St. Bernardus Abt 12",0.164688425616695
"173","Sierra Nevada Celebration Ale","Trappistes Rochefort 10",0.167293478656142
"174","Sierra Nevada Celebration Ale","Young's Double Chocolate Stout",0.0772397898264539
"175","Sierra Nevada Celebration Ale","Ayinger Celebrator Doppelbock",0.127680120764739
"176","Sierra Nevada Celebration Ale","Samuel Smith's Oatmeal Stout",0.154753865304532
"177","Sierra Nevada Celebration Ale","Chimay Grande Réserve (Blue)",0.0406598178390859
"178","Sierra Nevada Celebration Ale","Sierra Nevada Torpedo Extra IPA",0.325099293234734
"179","Sierra Nevada Celebration Ale","Guinness Draught",-0.0354670826120097
"180","Sierra Nevada Celebration Ale","Weihenstephaner Hefeweissbier",0.225833312279601
"181","Sierra Nevada Celebration Ale","Racer 5 India Pale Ale",0.230960373391938
"182","Sierra Nevada Celebration Ale","Orval Trappist Ale",0.15608615232373
"183","Sierra Nevada Celebration Ale","Tröegs Nugget Nectar",0.241312054104852
"184","Sierra Nevada Celebration Ale","Hop Rod Rye",0.279569697229943
"185","Sierra Nevada Celebration Ale","Founders KBS (Kentucky Breakfast Stout)",0.109230719188187
"186","Sierra Nevada Celebration Ale","Schneider Aventinus",0.179466156975183
"187","Sierra Nevada Celebration Ale","Samuel Adams Octoberfest",0.0839236311389821
"188","Sierra Nevada Celebration Ale","Hennepin (Farmhouse Saison)",0.211468509455556
"189","Sierra Nevada Celebration Ale","Prima Pils",0.28058237914603
"190","Sierra Nevada Celebration Ale","Punkin Ale",0.182502224956041
"191","Sierra Nevada Celebration Ale","Double Bastard Ale",0.210815727819035
"192","Sierra Nevada Celebration Ale","Samuel Adams Winter Lager",0.150236568517974
"193","Sierra Nevada Celebration Ale","Hop Wallop",0.207134752927508
"194","Sierra Nevada Celebration Ale","Oatmeal Stout",0.116076930022689
"195","Sierra Nevada Celebration Ale","Anchor Steam Beer",0.188251316494126
"196","Sierra Nevada Celebration Ale","120 Minute IPA",0.0640161922073296
"197","Stone Ruination IPA","90 Minute IPA",0.172170899674197
"198","Stone Ruination IPA","India Pale Ale",0.0520002531922703
"199","Stone Ruination IPA","Old Rasputin Russian Imperial Stout",0.243514006210571
"200","Stone Ruination IPA","Sierra Nevada Celebration Ale",0.281935418499543
"201","Stone Ruination IPA","Arrogant Bastard Ale",0.382155426932978
"202","Stone Ruination IPA","Two Hearted Ale",0.229578460644374
"203","Stone Ruination IPA","Stone IPA (India Pale Ale)",0.373445100461377
"204","Stone Ruination IPA","Sierra Nevada Pale Ale",0.188549414162161
"205","Stone Ruination IPA","La Fin Du Monde",0.178784501546906
"206","Stone Ruination IPA","Pale Ale",-0.00301276541160898
"207","Stone Ruination IPA","Duvel",0.108983659556939
"208","Stone Ruination IPA","Founders Breakfast Stout",0.176698180308026
"209","Stone Ruination IPA","Sierra Nevada Bigfoot Barleywine Style Ale",0.260262854158906
"210","Stone Ruination IPA","Pliny The Elder",0.19515211571874
"211","Stone Ruination IPA","60 Minute IPA",0.18726453668771
"212","Stone Ruination IPA","Brooklyn Black Chocolate Stout",0.165286120633258
"213","Stone Ruination IPA","Storm King Stout",0.244547308053256
"214","Stone Ruination IPA","Samuel Adams Boston Lager",0.0952853609754713
"215","Stone Ruination IPA","Bell's Hopslam Ale",0.131663512393799
"216","Stone Ruination IPA","Stone Imperial Russian Stout",0.274472426307208
"217","Stone Ruination IPA","Chocolate Stout",0.159425761924852
"218","Stone Ruination IPA","Imperial Stout",0.21689466826283
"219","Stone Ruination IPA","HopDevil Ale",0.254186044437969
"220","Stone Ruination IPA","Dead Guy Ale",0.145283654089622
"221","Stone Ruination IPA","St. Bernardus Abt 12",0.186811343962352
"222","Stone Ruination IPA","Trappistes Rochefort 10",0.207739160089116
"223","Stone Ruination IPA","Young's Double Chocolate Stout",0.0954493938316777
"224","Stone Ruination IPA","Ayinger Celebrator Doppelbock",0.113225589926544
"225","Stone Ruination IPA","Samuel Smith's Oatmeal Stout",0.120785890547868
"226","Stone Ruination IPA","Chimay Grande Réserve (Blue)",0.145230897273474
"227","Stone Ruination IPA","Sierra Nevada Torpedo Extra IPA",0.19813368028696
"228","Stone Ruination IPA","Guinness Draught",-0.0180941880257169
"229","Stone Ruination IPA","Weihenstephaner Hefeweissbier",0.0979067785346052
"230","Stone Ruination IPA","Racer 5 India Pale Ale",0.225249842805266
"231","Stone Ruination IPA","Orval Trappist Ale",0.11236153266333
"232","Stone Ruination IPA","Tröegs Nugget Nectar",0.191837620247775
"233","Stone Ruination IPA","Hop Rod Rye",0.255151606171168
"234","Stone Ruination IPA","Founders KBS (Kentucky Breakfast Stout)",0.141353537768861
"235","Stone Ruination IPA","Schneider Aventinus",0.164138949478333
"236","Stone Ruination IPA","Samuel Adams Octoberfest",0.0763448168451256
"237","Stone Ruination IPA","Hennepin (Farmhouse Saison)",0.274390236009036
"238","Stone Ruination IPA","Prima Pils",0.154170706805289
"239","Stone Ruination IPA","Punkin Ale",0.157799502294677
"240","Stone Ruination IPA","Double Bastard Ale",0.262770662289225
"241","Stone Ruination IPA","Samuel Adams Winter Lager",0.123426208203987
"242","Stone Ruination IPA","Hop Wallop",0.190346294113023
"243","Stone Ruination IPA","Oatmeal Stout",0.0878552595375879
"244","Stone Ruination IPA","Anchor Steam Beer",0.115771213787504
"245","Stone Ruination IPA","120 Minute IPA",0.130742171297243
"246","Arrogant Bastard Ale","90 Minute IPA",0.187052802452931
"247","Arrogant Bastard Ale","India Pale Ale",0.0552033182086013
"248","Arrogant Bastard Ale","Old Rasputin Russian Imperial Stout",0.275559067194132
"249","Arrogant Bastard Ale","Sierra Nevada Celebration Ale",0.336270976652778
"250","Arrogant Bastard Ale","Stone Ruination IPA",0.382155426932978
"251","Arrogant Bastard Ale","Two Hearted Ale",0.231246671090782
"252","Arrogant Bastard Ale","Stone IPA (India Pale Ale)",0.374209770395925
"253","Arrogant Bastard Ale","Sierra Nevada Pale Ale",0.220788624783839
"254","Arrogant Bastard Ale","La Fin Du Monde",0.177145105733392
"255","Arrogant Bastard Ale","Pale Ale",0.0567415058449803
"256","Arrogant Bastard Ale","Duvel",0.176357018836004
"257","Arrogant Bastard Ale","Founders Breakfast Stout",0.179369288456376
"258","Arrogant Bastard Ale","Sierra Nevada Bigfoot Barleywine Style Ale",0.31437283352747
"259","Arrogant Bastard Ale","Pliny The Elder",0.223091879582049
"260","Arrogant Bastard Ale","60 Minute IPA",0.209784363608727
"261","Arrogant Bastard Ale","Brooklyn Black Chocolate Stout",0.148326176315556
"262","Arrogant Bastard Ale","Storm King Stout",0.253488741783678
"263","Arrogant Bastard Ale","Samuel Adams Boston Lager",0.211664523280219
"264","Arrogant Bastard Ale","Bell's Hopslam Ale",0.130903958631913
"265","Arrogant Bastard Ale","Stone Imperial Russian Stout",0.260534139303469
"266","Arrogant Bastard Ale","Chocolate Stout",0.221461493078418
"267","Arrogant Bastard Ale","Imperial Stout",0.243603809624875
"268","Arrogant Bastard Ale","HopDevil Ale",0.288703412488568
"269","Arrogant Bastard Ale","Dead Guy Ale",0.205267356018136
"270","Arrogant Bastard Ale","St. Bernardus Abt 12",0.259060677901642
"271","Arrogant Bastard Ale","Trappistes Rochefort 10",0.224078156218091
"272","Arrogant Bastard Ale","Young's Double Chocolate Stout",0.138156959020524
"273","Arrogant Bastard Ale","Ayinger Celebrator Doppelbock",0.140907759564848
"274","Arrogant Bastard Ale","Samuel Smith's Oatmeal Stout",0.114143706323013
"275","Arrogant Bastard Ale","Chimay Grande Réserve (Blue)",0.113445092226185
"276","Arrogant Bastard Ale","Sierra Nevada Torpedo Extra IPA",0.220020813632169
"277","Arrogant Bastard Ale","Guinness Draught",0.0223585046059194
"278","Arrogant Bastard Ale","Weihenstephaner Hefeweissbier",0.159635514761983
"279","Arrogant Bastard Ale","Racer 5 India Pale Ale",0.201910016964023
"280","Arrogant Bastard Ale","Orval Trappist Ale",0.0933470128462431
"281","Arrogant Bastard Ale","Tröegs Nugget Nectar",0.195672144949737
"282","Arrogant Bastard Ale","Hop Rod Rye",0.290273483343008
"283","Arrogant Bastard Ale","Founders KBS (Kentucky Breakfast Stout)",0.179837807793385
"284","Arrogant Bastard Ale","Schneider Aventinus",0.133686920717904
"285","Arrogant Bastard Ale","Samuel Adams Octoberfest",0.0630480450664984
"286","Arrogant Bastard Ale","Hennepin (Farmhouse Saison)",0.224883372129715
"287","Arrogant Bastard Ale","Prima Pils",0.221512376728116
"288","Arrogant Bastard Ale","Punkin Ale",0.187698633278277
"289","Arrogant Bastard Ale","Double Bastard Ale",0.342590167397812
"290","Arrogant Bastard Ale","Samuel Adams Winter Lager",0.210631487570527
"291","Arrogant Bastard Ale","Hop Wallop",0.209039731420231
"292","Arrogant Bastard Ale","Oatmeal Stout",0.0765747081454741
"293","Arrogant Bastard Ale","Anchor Steam Beer",0.149154046525367
"294","Arrogant Bastard Ale","120 Minute IPA",0.199418179247243
"295","Two Hearted Ale","90 Minute IPA",0.0868647390078147
"296","Two Hearted Ale","India Pale Ale",0.102722322795361
"297","Two Hearted Ale","Old Rasputin Russian Imperial Stout",0.164826199892445
"298","Two Hearted Ale","Sierra Nevada Celebration Ale",0.211385720777622
"299","Two Hearted Ale","Stone Ruination IPA",0.229578460644374
"300","Two Hearted Ale","Arrogant Bastard Ale",0.231246671090782
"301","Two Hearted Ale","Stone IPA (India Pale Ale)",0.218530166610637
"302","Two Hearted Ale","Sierra Nevada Pale Ale",0.151598026285057
"303","Two Hearted Ale","La Fin Du Monde",0.165100622079013
"304","Two Hearted Ale","Pale Ale",0.13719795091336
"305","Two Hearted Ale","Duvel",0.150890042593852
"306","Two Hearted Ale","Founders Breakfast Stout",0.227306534567724
"307","Two Hearted Ale","Sierra Nevada Bigfoot Barleywine Style Ale",0.195614975960296
"308","Two Hearted Ale","Pliny The Elder",0.193157889749217
"309","Two Hearted Ale","60 Minute IPA",0.174878621515621
"310","Two Hearted Ale","Brooklyn Black Chocolate Stout",0.073426108262957
"311","Two Hearted Ale","Storm King Stout",0.222838534856697
"312","Two Hearted Ale","Samuel Adams Boston Lager",0.140748260239705
"313","Two Hearted Ale","Bell's Hopslam Ale",0.254901244520913
"314","Two Hearted Ale","Stone Imperial Russian Stout",0.207395677088333
"315","Two Hearted Ale","Chocolate Stout",0.231883280502902
"316","Two Hearted Ale","Imperial Stout",0.2400945367676
"317","Two Hearted Ale","HopDevil Ale",0.140171900826742
"318","Two Hearted Ale","Dead Guy Ale",0.141654963802346
"319","Two Hearted Ale","St. Bernardus Abt 12",0.209525168044181
"320","Two Hearted Ale","Trappistes Rochefort 10",0.118088213856722
"321","Two Hearted Ale","Young's Double Chocolate Stout",0.0699932438497386
"322","Two Hearted Ale","Ayinger Celebrator Doppelbock",0.0726463694937282
"323","Two Hearted Ale","Samuel Smith's Oatmeal Stout",0.2233751523083
"324","Two Hearted Ale","Chimay Grande Réserve (Blue)",0.108454615377169
"325","Two Hearted Ale","Sierra Nevada Torpedo Extra IPA",0.133082408481677
"326","Two Hearted Ale","Guinness Draught",0.0223132127277651
"327","Two Hearted Ale","Weihenstephaner Hefeweissbier",0.178068353291296
"328","Two Hearted Ale","Racer 5 India Pale Ale",0.240832187265505
"329","Two Hearted Ale","Orval Trappist Ale",0.100756656300267
"330","Two Hearted Ale","Tröegs Nugget Nectar",0.226003616604787
"331","Two Hearted Ale","Hop Rod Rye",0.244852468577515
"332","Two Hearted Ale","Founders KBS (Kentucky Breakfast Stout)",0.179096139059944
"333","Two Hearted Ale","Schneider Aventinus",0.103365333239913
"334","Two Hearted Ale","Samuel Adams Octoberfest",0.0536490128533121
"335","Two Hearted Ale","Hennepin (Farmhouse Saison)",0.206684974010164
"336","Two Hearted Ale","Prima Pils",0.202757376578809
"337","Two Hearted Ale","Punkin Ale",0.157936470721673
"338","Two Hearted Ale","Double Bastard Ale",0.173522576068451
"339","Two Hearted Ale","Samuel Adams Winter Lager",0.10178744867959
"340","Two Hearted Ale","Hop Wallop",0.236501434703573
"341","Two Hearted Ale","Oatmeal Stout",0.0683756320526785
"342","Two Hearted Ale","Anchor Steam Beer",0.057138183768633
"343","Two Hearted Ale","120 Minute IPA",0.0785859234165381
"344","Stone IPA (India Pale Ale)","90 Minute IPA",0.199535256117677
"345","Stone IPA (India Pale Ale)","India Pale Ale",0.107517150393368
"346","Stone IPA (India Pale Ale)","Old Rasputin Russian Imperial Stout",0.188920309610694
"347","Stone IPA (India Pale Ale)","Sierra Nevada Celebration Ale",0.303563419600223
"348","Stone IPA (India Pale Ale)","Stone Ruination IPA",0.373445100461377
"349","Stone IPA (India Pale Ale)","Arrogant Bastard Ale",0.374209770395925
"350","Stone IPA (India Pale Ale)","Two Hearted Ale",0.218530166610637
"351","Stone IPA (India Pale Ale)","Sierra Nevada Pale Ale",0.206700998571325
"352","Stone IPA (India Pale Ale)","La Fin Du Monde",0.223288558780985
"353","Stone IPA (India Pale Ale)","Pale Ale",0.0782877767009578
"354","Stone IPA (India Pale Ale)","Duvel",0.138999832245443
"355","Stone IPA (India Pale Ale)","Founders Breakfast Stout",0.195545949368731
"356","Stone IPA (India Pale Ale)","Sierra Nevada Bigfoot Barleywine Style Ale",0.199992300844282
"357","Stone IPA (India Pale Ale)","Pliny The Elder",0.17380491815201
"358","Stone IPA (India Pale Ale)","60 Minute IPA",0.26718724658065
"359","Stone IPA (India Pale Ale)","Brooklyn Black Chocolate Stout",0.142106752651001
"360","Stone IPA (India Pale Ale)","Storm King Stout",0.202656848502583
"361","Stone IPA (India Pale Ale)","Samuel Adams Boston Lager",0.129524537523312
"362","Stone IPA (India Pale Ale)","Bell's Hopslam Ale",0.0869465892145333
"363","Stone IPA (India Pale Ale)","Stone Imperial Russian Stout",0.285503625307042
"364","Stone IPA (India Pale Ale)","Chocolate Stout",0.219341539948628
"365","Stone IPA (India Pale Ale)","Imperial Stout",0.173642546332285
"366","Stone IPA (India Pale Ale)","HopDevil Ale",0.249995964512997
"367","Stone IPA (India Pale Ale)","Dead Guy Ale",0.188562483072471
"368","Stone IPA (India Pale Ale)","St. Bernardus Abt 12",0.174800108670265
"369","Stone IPA (India Pale Ale)","Trappistes Rochefort 10",0.167748953105443
"370","Stone IPA (India Pale Ale)","Young's Double Chocolate Stout",0.108936442340877
"371","Stone IPA (India Pale Ale)","Ayinger Celebrator Doppelbock",0.116159423319679
"372","Stone IPA (India Pale Ale)","Samuel Smith's Oatmeal Stout",0.0671332456655188
"373","Stone IPA (India Pale Ale)","Chimay Grande Réserve (Blue)",0.154949558060947
"374","Stone IPA (India Pale Ale)","Sierra Nevada Torpedo Extra IPA",0.175144669389594
"375","Stone IPA (India Pale Ale)","Guinness Draught",0.0303534288657154
"376","Stone IPA (India Pale Ale)","Weihenstephaner Hefeweissbier",0.19138830285865
"377","Stone IPA (India Pale Ale)","Racer 5 India Pale Ale",0.221261811376137
"378","Stone IPA (India Pale Ale)","Orval Trappist Ale",0.119685779942937
"379","Stone IPA (India Pale Ale)","Tröegs Nugget Nectar",0.300829149228598
"380","Stone IPA (India Pale Ale)","Hop Rod Rye",0.255669427440194
"381","Stone IPA (India Pale Ale)","Founders KBS (Kentucky Breakfast Stout)",0.0930962827258075
"382","Stone IPA (India Pale Ale)","Schneider Aventinus",0.131305050182674
"383","Stone IPA (India Pale Ale)","Samuel Adams Octoberfest",0.0178860228478105
"384","Stone IPA (India Pale Ale)","Hennepin (Farmhouse Saison)",0.223096916677525
"385","Stone IPA (India Pale Ale)","Prima Pils",0.188681060252062
